source_question,comment_hash,appointment_access,waiting,communication_updates,staff_helpfulness,technical_knowledge,explanation_clarity,options_cost_transparency,resolution_escalation,turnaround,process_ease_hand_offs,other
positive_comment,a1617cd14d6ed6c7bd95291a57e5b31d0b9e415d3150c335da45eb62023dfdbf,1,0,0,0,0,0,0,0,0,0,0
positive_comment,b959fc86361d31ff6e369bece4025f1c1275138026836098953597db0fb7c2cb,0,0,0,0,0,1,0,0,0,1,0
positive_comment,57178b11686f589f3a96cb45f7f6157bfb6d7062c1c393dc408ffb2cf6f86ce9,0,0,0,0,0,1,1,0,0,0,0
positive_comment,cf61c2c30e103f1956190509d47d2044c49d3b99567160063889c42827eb7872,0,1,1,0,0,0,0,0,0,0,0
positive_comment,fca8b6ee30488b2fce81325904e6eee9fa5855cc34a90cfe185e8d0ae7668137,0,1,0,0,0,0,0,0,0,0,0
positive_comment,f2abf008d55cdc097a500d28f176921d7276f79d4347fd2cc339876d25f1b07a,0,0,0,0,0,0,0,1,0,0,0
positive_comment,7ebc1a8b069b5e4a6c2fbdee1ac13eed19715f56c18976b89968eabdabe2f2d1,1,0,0,0,0,0,0,0,0,0,0
positive_comment,d66e6e69fc1aec12bee557433a9dae3b36d82b4783a1e32e3bf992be8b724b20,0,0,0,0,0,0,1,0,0,1,0
positive_comment,3eba7b0043f6850348f25b99a5db7151ab8cbc394b89841a99eb12a44d88ecd6,0,0,0,0,0,0,0,1,0,0,0
positive_comment,46420ec6e67c3c35c1493cdf0e5269b16be6e5aaebd3d06b25ea2e5783cec630,0,0,0,1,0,0,0,0,0,0,0
positive_comment,e6e93207c7cf122d7840812ff2a8bc40788b4176791845010296c0a0dc94aeb8,0,0,0,0,0,0,0,1,0,0,0
positive_comment,f1cfc7f406da323449ac963c73233122aef7688c58c36a36f1c53748e0a7b547,0,0,0,0,0,1,0,0,1,0,0
positive_comment,043990b128f38ee082dbc2d228403b43b91b89d3815ae70d878826d661ee4e70,0,0,0,0,0,1,0,0,0,0,0
positive_comment,0fe316648a447044db3b40fa9d39e627df12e282feb60a8ddde6002ad9a96a2d,0,0,0,0,0,1,1,0,0,0,0
positive_comment,68f3dd43beeddfab2e1172d85f355d16c48486010f785e3e66f74e4a4dec1360,0,0,0,0,0,1,0,0,0,0,0
positive_comment,52993573f77e10e17bc0d9193c2436f44cc625ebf2652c0e7d9d836ca827b68f,0,0,0,0,1,0,0,0,0,0,0
positive_comment,63bcd613ff5ba1750aed9dbc37670c69cd0f8e60ddac2dab3765c8202b1618d1,0,0,0,1,0,0,0,0,0,0,0
positive_comment,14f75bcef0f7e89b03ee98a52995c94d4fd8dc2187ea2451cb2f8d51325d2752,0,0,0,1,0,0,0,0,0,0,0
positive_comment,24fba6029d98a9a8f0b1bb8e2a544ba1512d9a32e46c84996c11f4b70d28bc69,0,0,0,0,0,0,1,0,0,0,0
positive_comment,7b1b897254e1a581b337d158ffb4551261da7726c07b2734abfc230c3b339ca5,0,0,0,0,0,1,0,0,0,0,0
positive_comment,7dc1ccd99b27d1c5c491071f98aaa4954d7a9fc5c083a1f1d95699e655add60b,1,0,0,0,0,0,0,0,0,1,0
positive_comment,d4c4c02ba0905a37f3672d5d4712e6542a480ba1732e6ad628cd7ff6f07a0546,0,0,0,0,0,0,0,0,0,1,0
positive_comment,f87dea42d46715c088e3f9788d16baa7b6239dc9e742afde7cfcd5ad4419d099,0,0,0,0,0,1,0,0,0,0,0
positive_comment,41b4fe3a715cfd948bd1a76a0733ec0a3566917cbf42356d491dead846bb3402,0,0,0,0,0,1,0,0,0,0,0
positive_comment,9c676d63e0c78487c760ab884e588d7f2a5f93643eb2ec039bf3aa4e6d057b8b,1,0,0,0,0,0,0,0,0,0,0
positive_comment,d4a4c3dd26997559870da124d4430ed2bb29bf471b7458dd09f6f7d5afc71022,0,1,0,0,0,0,0,0,0,0,0
positive_comment,697a72c96448c7f1850df02e95330b7f61a1cfffc28b7c0674be4030117dfc47,0,0,0,1,0,0,0,0,0,0,0
positive_comment,43565fcd0d444b111e3c9d3e2e1079d87702ea144650f0b434ad89729814d30c,0,0,1,0,0,0,1,0,0,0,0
positive_comment,94b376a3d77e62040f0bbc05468629e4c8f6d30858177153929956f805e5b566,0,0,1,0,0,0,1,0,0,0,0
positive_comment,0f93f529bb0792491a4072cd0ca99629c01f30a5950d31ff7abe8ce6d96f759f,0,0,1,0,0,1,0,0,0,0,0
positive_comment,33b6a18e073a8eda6df3294c767446f0c6b42f1ec04077e92a34ed8026e3c4b7,0,0,0,0,0,0,0,1,0,0,0
positive_comment,06dc969e1439432f8ace0996a240289d81d047c29d3344dce43dda5688ffbc82,1,0,0,0,0,0,0,0,0,1,0
positive_comment,32f82a7c58b668a72bad39852e837a90c197e15e37662c905356bf9d31cbc2da,0,0,0,0,0,0,0,1,0,0,0
positive_comment,eef57b6bee548c0df254dac85bf450f9913c8de3ed321ec3fbde174c92ac6232,1,0,0,0,0,0,0,0,0,1,0
positive_comment,8b2fb41d4cf0f9601864aa6cc484ca73272a22ff073377dabeea9918c025dbf9,0,0,0,0,1,0,0,0,0,0,0
positive_comment,3ba2055a7617c620e200ab7d0b710fc0d6c64e4b92b8a0009460d3fd43b780ca,0,0,0,0,1,0,0,0,0,0,0
positive_comment,4ccd69bf5e8c991d2e0605ae12c7b376c3f27fe3ca139f7d3421251bd9a75b43,0,0,0,0,1,0,0,0,0,0,0
positive_comment,0cd51cdf5eca925ab25a36db85c92bc2ff9a977207e629cbfdfc838f57b8c2a2,0,0,0,0,0,0,1,0,0,1,0
positive_comment,9af201526282e3ce1b2a793adf2f0627af5e7a156e02d81fe37b0a81c108d70a,1,0,0,0,0,0,0,0,0,0,0
positive_comment,d46f863d4c46b889a7f3d132a092e5686db778b7d8ad23cfd383c8a8a2bb2a54,0,0,0,0,0,0,1,0,0,0,0
positive_comment,213ae41a7ea20aa2946aa10d71670dab18155cd4b41d02784c3e812518dde4ad,0,0,0,0,0,0,0,1,0,0,0
positive_comment,cdeebc129b5e22f3a0a1220ea7f4c9c066d6b76c5023f9d75ff73e4001a23121,0,0,0,1,0,0,0,0,0,0,0
